mart_name,year,month,product,sales,product ID
Mart A,2018,1,Cumin Seeds,910,PRD01
Mart A,2018,2,Cumin Seeds,895,PRD01
Mart A,2018,3,Cumin Seeds,1233,PRD01
Mart A,2018,4,Cumin Seeds,1432,PRD01
Mart A,2018,5,Cumin Seeds,1567,PRD01
Mart A,2018,6,Cumin Seeds,1620,PRD01
Mart A,2018,7,Cumin Seeds,1755,PRD01
Mart A,2018,8,Cumin Seeds,1573,PRD01
Mart A,2018,9,Cumin Seeds,1413,PRD01
Mart A,2018,10,Cumin Seeds,1371,PRD01
Mart A,2018,11,Cumin Seeds,1382,PRD01
Mart A,2018,12,Cumin Seeds,1031,PRD01
Mart A,2019,1,Cumin Seeds,1042,PRD01
Mart A,2019,2,Cumin Seeds,1089,PRD01
Mart A,2019,3,Cumin Seeds,1460,PRD01
Mart A,2019,4,Cumin Seeds,1611,PRD01
Mart A,2019,5,Cumin Seeds,1763,PRD01
Mart A,2019,6,Cumin Seeds,1811,PRD01
Mart A,2019,7,Cumin Seeds,2041,PRD01
Mart A,2019,8,Cumin Seeds,1808,PRD01
Mart A,2019,9,Cumin Seeds,1599,PRD01
Mart A,2019,10,Cumin Seeds,1519,PRD01
Mart A,2019,11,Cumin Seeds,1604,PRD01
Mart A,2019,12,Cumin Seeds,1151,PRD01
Mart A,2020,1,Cumin Seeds,1091,PRD01
Mart A,2020,2,Cumin Seeds,1116,PRD01
Mart A,2020,3,Cumin Seeds,1464,PRD01
Mart A,2020,4,Cumin Seeds,1623,PRD01
Mart A,2020,5,Cumin Seeds,1939,PRD01
Mart A,2020,6,Cumin Seeds,1852,PRD01
Mart A,2020,7,Cumin Seeds,2055,PRD01
Mart A,2020,8,Cumin Seeds,1823,PRD01
Mart A,2020,9,Cumin Seeds,1675,PRD01
Mart A,2020,10,Cumin Seeds,1594,PRD01
Mart A,2020,11,Cumin Seeds,1590,PRD01
Mart A,2020,12,Cumin Seeds,1228,PRD01
Mart A,2021,1,Cumin Seeds,1245,PRD01
Mart A,2021,2,Cumin Seeds,1262,PRD01
Mart A,2021,3,Cumin Seeds,1706,PRD01
Mart A,2021,4,Cumin Seeds,1829,PRD01
Mart A,2021,5,Cumin Seeds,2021,PRD01
Mart A,2021,6,Cumin Seeds,2018,PRD01
Mart A,2021,7,Cumin Seeds,2379,PRD01
Mart A,2021,8,Cumin Seeds,2047,PRD01
Mart A,2021,9,Cumin Seeds,1836,PRD01
Mart A,2021,10,Cumin Seeds,1809,PRD01
Mart A,2021,11,Cumin Seeds,1801,PRD01
Mart A,2021,12,Cumin Seeds,1382,PRD01
Mart A,2018,1,Urad Dal,931,PRD02
Mart A,2018,2,Urad Dal,941,PRD02
Mart A,2018,3,Urad Dal,1291,PRD02
Mart A,2018,4,Urad Dal,1386,PRD02
Mart A,2018,5,Urad Dal,1626,PRD02
Mart A,2018,6,Urad Dal,1573,PRD02
Mart A,2018,7,Urad Dal,1709,PRD02
Mart A,2018,8,Urad Dal,1562,PRD02
Mart A,2018,9,Urad Dal,1416,PRD02
Mart A,2018,10,Urad Dal,1401,PRD02
Mart A,2018,11,Urad Dal,1422,PRD02
Mart A,2018,12,Urad Dal,1035,PRD02
Mart A,2019,1,Urad Dal,1076,PRD02
Mart A,2019,2,Urad Dal,1004,PRD02
Mart A,2019,3,Urad Dal,1363,PRD02
Mart A,2019,4,Urad Dal,1588,PRD02
Mart A,2019,5,Urad Dal,1793,PRD02
Mart A,2019,6,Urad Dal,1819,PRD02
Mart A,2019,7,Urad Dal,1976,PRD02
Mart A,2019,8,Urad Dal,1824,PRD02
Mart A,2019,9,Urad Dal,1592,PRD02
