"SLNO","mart_name","year","month","product","sales","product ID"
"1","Mart A","2018","1","Cumin Seeds","910","PRD01"
"2","Mart A","2018","2","Cumin Seeds","895","PRD01"
"3","Mart A","2018","3","Cumin Seeds","1233","PRD01"
"4","Mart A","2018","4","Cumin Seeds","1432","PRD01"
"5","Mart A","2018","5","Cumin Seeds","1567","PRD01"
"6","Mart A","2018","6","Cumin Seeds","1620","PRD01"
"7","Mart A","2018","7","Cumin Seeds","1755","PRD01"
"8","Mart A","2018","8","Cumin Seeds","1573","PRD01"
"9","Mart A","2018","9","Cumin Seeds","1413","PRD01"
"10","Mart A","2018","10","Cumin Seeds","1371","PRD01"
"11","Mart A","2018","11","Cumin Seeds","1382","PRD01"
"12","Mart A","2018","12","Cumin Seeds","1031","PRD01"
"13","Mart A","2019","1","Cumin Seeds","1042","PRD01"
"14","Mart A","2019","2","Cumin Seeds","1089","PRD01"
"15","Mart A","2019","3","Cumin Seeds","1460","PRD01"
"16","Mart A","2019","4","Cumin Seeds","1611","PRD01"
"17","Mart A","2019","5","Cumin Seeds","1763","PRD01"
"18","Mart A","2019","6","Cumin Seeds","1811","PRD01"
"19","Mart A","2019","7","Cumin Seeds","2041","PRD01"
"20","Mart A","2019","8","Cumin Seeds","1808","PRD01"
"21","Mart A","2019","9","Cumin Seeds","1599","PRD01"
"22","Mart A","2019","10","Cumin Seeds","1519","PRD01"
"23","Mart A","2019","11","Cumin Seeds","1604","PRD01"
"24","Mart A","2019","12","Cumin Seeds","1151","PRD01"
"25","Mart A","2020","1","Cumin Seeds","1091","PRD01"
"26","Mart A","2020","2","Cumin Seeds","1116","PRD01"
"27","Mart A","2020","3","Cumin Seeds","1464","PRD01"
"28","Mart A","2020","4","Cumin Seeds","1623","PRD01"
"29","Mart A","2020","5","Cumin Seeds","1939","PRD01"
"30","Mart A","2020","6","Cumin Seeds","1852","PRD01"
"31","Mart A","2020","7","Cumin Seeds","2055","PRD01"
"32","Mart A","2020","8","Cumin Seeds","1823","PRD01"
"33","Mart A","2020","9","Cumin Seeds","1675","PRD01"
"34","Mart A","2020","10","Cumin Seeds","1594","PRD01"
"35","Mart A","2020","11","Cumin Seeds","1590","PRD01"
"36","Mart A","2020","12","Cumin Seeds","1228","PRD01"
"37","Mart A","2021","1","Cumin Seeds","1245","PRD01"
"38","Mart A","2021","2","Cumin Seeds","1262","PRD01"
"39","Mart A","2021","3","Cumin Seeds","1706","PRD01"
"40","Mart A","2021","4","Cumin Seeds","1829","PRD01"
"41","Mart A","2021","5","Cumin Seeds","2021","PRD01"
"42","Mart A","2021","6","Cumin Seeds","2018","PRD01"
"43","Mart A","2021","7","Cumin Seeds","2379","PRD01"
"44","Mart A","2021","8","Cumin Seeds","2047","PRD01"
"45","Mart A","2021","9","Cumin Seeds","1836","PRD01"
"46","Mart A","2021","10","Cumin Seeds","1809","PRD01"
"47","Mart A","2021","11","Cumin Seeds","1801","PRD01"
"48","Mart A","2021","12","Cumin Seeds","1382","PRD01"
