si_no,mart_name,year,month,product_id,Product,sales
1,Mart A,2018,1,PRD01,Cumin Seeds,910
2,Mart A,2018,2,PRD01,Cumin Seeds,895
3,Mart A,2018,3,PRD01,Cumin Seeds,1233
4,Mart A,2018,4,PRD01,Cumin Seeds,1432
5,Mart A,2018,5,PRD01,Cumin Seeds,1567
6,Mart A,2018,6,PRD01,Cumin Seeds,1620
7,Mart A,2018,7,PRD01,Cumin Seeds,1755
8,Mart A,2018,8,PRD01,Cumin Seeds,1573
9,Mart A,2018,9,PRD01,Cumin Seeds,1413
10,Mart A,2018,10,PRD01,Cumin Seeds,1371
11,Mart A,2018,11,PRD01,Cumin Seeds,1382
12,Mart A,2018,12,PRD01,Cumin Seeds,1031
13,Mart A,2019,1,PRD01,Cumin Seeds,1042
14,Mart A,2019,2,PRD01,Cumin Seeds,1089
15,Mart A,2019,3,PRD01,Cumin Seeds,1460
16,Mart A,2019,4,PRD01,Cumin Seeds,1611
17,Mart A,2019,5,PRD01,Cumin Seeds,1763
18,Mart A,2019,6,PRD01,Cumin Seeds,1811
19,Mart A,2019,7,PRD01,Cumin Seeds,2041
20,Mart A,2019,8,PRD01,Cumin Seeds,1808
21,Mart A,2019,9,PRD01,Cumin Seeds,1599
22,Mart A,2019,10,PRD01,Cumin Seeds,1519
23,Mart A,2019,11,PRD01,Cumin Seeds,1604
24,Mart A,2019,12,PRD01,Cumin Seeds,1151
25,Mart A,2020,1,PRD01,Cumin Seeds,1091
26,Mart A,2020,2,PRD01,Cumin Seeds,1116
27,Mart A,2020,3,PRD01,Cumin Seeds,1464
28,Mart A,2020,4,PRD01,Cumin Seeds,1623
29,Mart A,2020,5,PRD01,Cumin Seeds,1939
30,Mart A,2020,6,PRD01,Cumin Seeds,1852
31,Mart A,2020,7,PRD01,Cumin Seeds,2055
32,Mart A,2020,8,PRD01,Cumin Seeds,1823
33,Mart A,2020,9,PRD01,Cumin Seeds,1675
34,Mart A,2020,10,PRD01,Cumin Seeds,1594
35,Mart A,2020,11,PRD01,Cumin Seeds,1590
36,Mart A,2020,12,PRD01,Cumin Seeds,1228
37,Mart A,2021,1,PRD01,Cumin Seeds,1245
38,Mart A,2021,2,PRD01,Cumin Seeds,1262
39,Mart A,2021,3,PRD01,Cumin Seeds,1706
40,Mart A,2021,4,PRD01,Cumin Seeds,1829
41,Mart A,2021,5,PRD01,Cumin Seeds,2021
42,Mart A,2021,6,PRD01,Cumin Seeds,2018
43,Mart A,2021,7,PRD01,Cumin Seeds,2379
44,Mart A,2021,8,PRD01,Cumin Seeds,2047
45,Mart A,2021,9,PRD01,Cumin Seeds,1836
46,Mart A,2021,10,PRD01,Cumin Seeds,1809
47,Mart A,2021,11,PRD01,Cumin Seeds,1801
48,Mart A,2021,12,PRD01,Cumin Seeds,1382
49,Mart A,2018,1,PRD02,Urad Dal,931
50,Mart A,2018,2,PRD02,Urad Dal,941
51,Mart A,2018,3,PRD02,Urad Dal,1291
52,Mart A,2018,4,PRD02,Urad Dal,1386
53,Mart A,2018,5,PRD02,Urad Dal,1626
54,Mart A,2018,6,PRD02,Urad Dal,1573
55,Mart A,2018,7,PRD02,Urad Dal,1709
56,Mart A,2018,8,PRD02,Urad Dal,1562
57,Mart A,2018,9,PRD02,Urad Dal,1416
58,Mart A,2018,10,PRD02,Urad Dal,1401
59,Mart A,2018,11,PRD02,Urad Dal,1422
60,Mart A,2018,12,PRD02,Urad Dal,1035
61,Mart A,2019,1,PRD02,Urad Dal,1076
62,Mart A,2019,2,PRD02,Urad Dal,1004
63,Mart A,2019,3,PRD02,Urad Dal,1363
64,Mart A,2019,4,PRD02,Urad Dal,1588
65,Mart A,2019,5,PRD02,Urad Dal,1793
66,Mart A,2019,6,PRD02,Urad Dal,1819
67,Mart A,2019,7,PRD02,Urad Dal,1976
68,Mart A,2019,8,PRD02,Urad Dal,1824
69,Mart A,2019,9,PRD02,Urad Dal,1592
70,Mart A,2019,10,PRD02,Urad Dal,1506
71,Mart A,2019,11,PRD02,Urad Dal,1581
72,Mart A,2019,12,PRD02,Urad Dal,1121
73,Mart A,2020,1,PRD02,Urad Dal,1086
74,Mart A,2020,2,PRD02,Urad Dal,1111
